Rank,ID,Player,Team,Conf,Seed,GP,MPG,PPG,$,R1 Pts,R1 PPG,R1 GP,R2 Pts,R2 PPG,R2 GP,CF Pts,CF PPG,CF GP,Finals Pts,Finals PPG,Finals GP,Total Pts,Total GP
115,3975,Stephen Curry,GS,W,10,585,31.4,27.2,,51.1,31.4,1.6,3.6,31.7,0.1,0.3,,,0.1,,,55.1,1.8
116,4683678,Scoot Henderson,POR,W,8,375,23.8,14,,51.1,10.3,5,1.8,10.3,0.2,0.1,,,,,,53,5.2
117,4397014,Quentin Grimes,PHI,E,7,1035,30.1,13.7,,48.3,9.7,5,1.9,9.1,0.2,0.2,,,,,,50.4,5.2
118,4701233,Craig Porter Jr.,CLE,E,4,900,17.6,4.3,,19.8,3.6,5.5,17.5,3.5,5,8.6,3.4,2.5,3.7,3.5,1.1,49.6,14
119,4432816,LaMelo Ball,CHA,E,9,990,27.7,19.6,,40.7,22.1,1.8,7,21.9,0.3,0.8,,,0.1,,,48.6,2.2
120,4431736,Toumani Camara,POR,W,8,1155,33.1,13.1,,44,8.8,5,1.6,8.7,0.2,0.1,,,,,,45.7,5.2
121,5211175,Zaccharie Risacher,ATL,E,6,945,22.8,9.9,,39.4,7.3,5.4,4.8,7.4,0.6,0.5,,0.1,,,,44.6,6.1
122,3102531,Kristaps Porzingis,GS,W,10,180,23.7,17.5,,40.7,23.8,1.7,2.8,24,0.1,0.3,,,0.1,,,43.9,1.8
123,3146557,Jock Landale,ATL,E,6,345,19.4,9.1,,38.1,7.1,5.4,4.6,7.1,0.6,0.5,,0.1,,,,43.2,6.1
124,5093267,Collin Murray-Boyles,TOR,E,5,780,21.9,8.2,,36.8,6.7,5.5,5.3,6.8,0.8,0.8,6.8,0.1,0.1,,,43,6.4
125,4433287,Brandon Miller,CHA,E,9,885,30.2,20.3,,35.7,19.3,1.8,6.2,19.5,0.3,0.6,,,0.1,,,42.6,2.2
126,6450,Kawhi Leonard,LAC,W,9,900,32.1,28.1,,39.7,26,1.5,1.5,,0.1,0.1,,,,,,41.4,1.6
127,4278580,Sandro Mamukelashvili,TOR,E,5,1110,21.9,11.2,,35,6.4,5.5,5.1,6.5,0.8,0.8,6.3,0.1,0.1,,,41,6.4
128,4280151,Corey Kispert,ATL,E,6,525,18.6,9,,35.2,6.5,5.4,4.1,6.4,0.6,0.4,,0.1,,,,39.8,6.1
129,4701232,Mark Williams,PHX,W,7,855,23.5,11.6,,38.6,7.9,4.9,0.9,8,0.1,,,,,,,39.5,5
130,2583632,Royce O'Neale,PHX,W,7,1095,28.7,9.9,,37.7,7.7,4.9,0.9,7.7,0.1,,,,,,,38.6,5
131,4684272,Ja'Kobe Walter,TOR,E,5,990,19.8,7.2,,32.1,5.9,5.5,4.5,5.8,0.8,0.7,5.8,0.1,0.1,,,37.5,6.4
132,4432241,Jamal Shead,TOR,E,5,1140,22.4,6.6,,31.8,5.8,5.5,4.6,5.9,0.8,0.7,5.8,0.1,0.1,,,37.2,6.4
133,5105806,Jett Howard,ORL,E,8,795,12.8,5.4,,31.2,5.8,5.4,3.5,5.7,0.6,0.5,,0.1,0.1,,,35.3,6.1
134,4066261,Bam Adebayo,MIA,E,10,1020,32.3,20.3,,31.6,19.9,1.6,3.4,19.3,0.2,0.2,,,,,,35.2,1.8
135,4396907,Darius Garland,LAC,W,9,210,28.8,21.2,,33.1,20.5,1.6,1.4,,0.1,0.1,,,,,,34.6,1.7
136,5061575,Kon Knueppel,CHA,E,9,1125,31.6,19,,28.3,15.4,1.8,4.9,15.3,0.3,0.5,,,0.1,,,33.8,2.2
137,4395725,Tyler Herro,MIA,E,10,450,31.6,21.4,,29.9,19.7,1.5,3.2,19.8,0.2,0.2,,,,,,33.3,1.7
138,4066383,Miles Bridges,CHA,E,9,1065,31.3,17.2,,27.6,15,1.8,4.7,14.8,0.3,0.5,,,0.1,,,33,2.2
